Profile (FG500),,,Details (FG500),,,,,,,,,,RE100,,,SBTi,,,,,,,,,,,,NZ Tracker Definition,,,,,,Carbon Neutral,,,,,,Net Zero,,,,,,,Use of carbon credits,,Other reduction targets,,,,,,Other,,,Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,Last year checks ,,,,,,this year  ,,,,,
174,183,Airbus,Aerospace and Defense,Aerospace and defense,Netherlands,Europe,"$74,867.5","$4,576.6",0.117,"$133,788.6",156921,31,N,,,Y,Y,Targets set,1.5°C ,2035,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,No,"1,2",,N,,,,,,N,,,,,,Yes,Not Specified,No,Y,-63%(2) in line with 1.5°C  pathway ‚Äúnet zero Scope 1&2‚Äù by 2030'  (p61),2030,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,Y,No,C,N,0,Y,Y,,N,N,Yes,
154,152,Albertsons,Food & Drug Stores,Retail,U.S.,North America,"$80,390.9",$958.6,-0.26,"$26,755.7",196650,21,N,,,Y,Y,Targets set,1.5°C ,2030,,,,,,,,,,,,,,,N,,,https://www.albertsonsmediacollective.com/pr-details/2022/Albertsons-Companies-Announces-ESG-Goals-and-Long-Term-Strategies-to-Support-a-More-Sustainable-Future/default.aspx,,C,Y,"1,2",Achieve Net Zero emissions in company operations by 2040.,2040,https://www.albertsonsmediacollective.com/pr-details/2022/Albertsons-Companies-Announces-ESG-Goals-and-Long-Term-Strategies-to-Support-a-More-Sustainable-Future/default.aspx,,Not Specified,,,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,Y,No,C,N,0,Y,Y,,Y,N,Not Specified,
63,70,Alibaba Group Holding,Internet Services and Retailing,Retail,China,Asia,"$138,065","$18,029.4",0.615,"$248,629.1",124320,9,N,,,Y,N,Commitment removed,,,,,,N,Commitment removed,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,Yes,"1,2,3","C,V",Y,"In 2021, we set the goals of: (1) achieving carbon neutrality in our own operations by 2030; (2) halving the net emissions intensity in the value chain by 2030 (cf. 2024 Alibaba Group ESG Report, p. 9) Baseline year - Jan 2020 - Dec 2020 (cf. 2024 Alibaba Group ESG Report, p. 27). ",2030,,,,N,Achieve Net Zero emissions in company operations by 2040.,Engage top suppliers to set science-based carbon reduction targets by 2026.,,,,Not Specified,Yes (nature-based and CCS-based removals),No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,N,Yes,N,C,Y,0,Y,Commitment removed,N,Y,Not Specified,
195,177,Alimentation Couche-Tard,Specialty Retailers,Retail,Canada,North America,"$69,263.5","$2,729.7",-0.117,"$36,942.1",149000,12,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,No,"1,2",C,Y,"2024 sustainability report, p 49: Carbon neutral for Scope 1 and 2 net emissions from energy consumption including the use of carbon credits. ",2030,,,,N,Achieve Net Zero emissions in company operations by 2040.,,,,,Not Specified,Yes (unspecified),No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,N,0,N,C,Y,0,N,,N,Y,Not Specified,
76,82,Allianz,"Insurance: Life, Health (stock)",Financial services,Germany,Europe,"$123,148.1","$10,739.7",0.163,"$1,081,567.6",156626,31,Y,2018,2023,Y,N,Commitment removed,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3",,2050,,,Yes,Yes (nature-based and CCS-based removals),No,N,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,N,0,V,N,Y,R,Y,,Y,N,Yes,
218,244,Allstate,Insurance: Property and Casualty,Financial services,U.S.,North America,"$64,106","$4,667",0,"$111,617",55200,30,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,No,"1,2",,N,,,,,C,Y,"1,2","As a service company, Allstate‚Äôs operational greenhouse gas emissions are relatively small compared to the size and scope of our business. We committed to reduce Scope 1 and 2 emissions to zero by 2030 since this will increase efficiency and supports engagement to mitigate the impact of severe weather on customers.",2030,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,N,0,C,N,0,U,N,,Y,N,Not Specified,
13,17,Alphabet,Internet Services and Retailing,Retail,U.S.,North America,"$350,018","$100,118",0.357,"$450,256",183323,17,N,,,Y,Y,Targets set,1.5°C ,2030,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","We aim to run on 24/7 carbon-free energy on every grid where we operate by 2030. 

Reduce 50% of our combined Scope 1, 2 (market-based), and 3 absolute emissions (versus our 2019 baseline) before 2030",2030,,,No,Yes (nature-based and CCS-based removals),Yes,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,N,No,V,N,0,Y,Y,,Y,N,No,
203,214,Aluminum Corp. of China,Metals,Metals and mining,China,Asia,"$66,811.1","$1,326.8",0.514,"$83,626.6",122340,18,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Not Specified,Not Specified,Not Specified,,G,N,,,,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,U,0,N,,N,N,Not Specified,
2,2,Amazon,Internet Services and Retailing,Retail,U.S.,North America,"$637,959","$59,248",0.947,"$624,894",1556000,17,N,,,Y,N,Commitment removed,,,,,,,,,,Net zero,Net Zero,Not Specified,Not Specified,Partial,,,N,,,,,,Y,,"In 2019, we co-founded and committed to The Climate Pledge‚Äîour goal to reach net-zero carbon emissions by 2040, 10 years ahead of the Paris Agreement. (sustainability report 2024 p. 6)
",2040,,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,No,C,N,0,Y,Y,,Y,N,Yes,
321,328,America Movil,Telecommunications,Telecommunications and media,Mexico,Latin America,"$47,484.7","$1,251.1",-0.709,"$86,233.8",178468,19,N,,,N,N,,,,,,,,Commitment removed,,,,,,,,,,N,,,,,,Y,,,2050,Sustainability-Report-2024.pdf,"· Net-zero commitment, by setting a public goal to reach net-zero emissions by no later than 2050,",Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Y,No,N,N,0,0,N,Commitment removed,Y,N,Not Specified,
268,278,American Airlines Group,Airlines,Transportation and logistics,U.S.,North America,"$54,211",$846,0.029,"$61,783",133300,30,N,,,Y,Y,Targets set,Well-below 2¬∞C,2035,,,,,,,,Net zero,Net Zero,Yes,Yes,Partial,"1,2",,N,,,,,C,Y,"1,2",Target net zero emissions by 2050 (P.13),2050,,,Yes,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,Y,No,C,N,0,Y,Y,,Y,N,Yes,
175,195,American Express,Consumer Credit Card and Related Services,Financial services,U.S.,North America,"$74,201","$10,129",0.21,"$271,461",75100,31,Y,2020,2025,Y,Y,Targets set,1.5°C ,2033,Targets set,1.5°C ,2050,Y,Targets set,2050,,Net zero,Net Zero,Yes,Yes,Partial,"1,2",,N,,,,achieved,C,Y,"1,2","‚ÄúCommitted to net-zero emissions by 2035 in alignment with the SBTi‚Äù (2021-2022 ESG Report, P.40)",2035,,,Yes,Not Specified,No,N,,,,,,,,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,N,No,V,C,Y,U,Y,Targets set,Y,N,Yes,
482,#N/A,Amgen,Pharmaceuticals,Health care and pharmaceuticals,U.S.,North America,"$36,189",$647.8,-0.207,"$15,838.7",139907,2,N,,,Y,Y,Targets set,1.5°C ,2030,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,Yes,"1,2,3","C,V",Y,"""Amgen's 2027 carbon emissions targets have been approved by the Science Based Targets initiative (SBTi) and are consistent with the goal of limiting global warming to 1.5 degrees Celsius for Scope 1 and 2 emissions. We also established an SBTi Scope 3 supplier engagement target to engage with 73% of our suppliers by spend in key categories to support their adoption of science-based carbon reduction targets by 2027. """,2027,,,,N,,,,,,Not Specified,Yes (unspecified),No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Y,,N,Y,Not Specified,
232,231,Anheuser-Busch InBev,Beverages,"Food, beverages and agriculture",Belgium,Europe,"$59,768","$5,855",0.096,"$206,637",143885,20,Y,2017,2025,Y,Y,Targets set,1.5Â°C,2025,,,,N,Commitment removed,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""achieve net zero across our value chain by 2040""

",2040,,,Not Specified,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,N,0,V,N,0,Y,Y,Commitment removed,Y,N,Not Specified,
438,371,Ansteel Group,Metals,Metals and mining,China,Asia,"$36,270.6","$-1,382.2",0,"$69,392.9",128584,12,N,,,N,N,,,,,,,,,,,,,,,,,G,N,carbon neutrality,2060,http://en.ansteel.cn/upload/pdf/2021.pdf,info from previous yr database,,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,U,0,N,,N,N,Not Specified,
356,323,ANZ Group Holdings,Banks: Commercial and Savings,Financial services,Australia,Oceania,"$42,962.8","$4,348.2",-0.08,"$852,221.4",42370,18,Y,2019,2025,N,N,,,,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,Yes,"1,2,3",,N,,,,,,N,,,,,,Yes,Not Specified,No,Y,"""2024 Target: Reducing combined scope 1 and 2 emissions 85% by 2025 and 90% by 2030 (against 2015 baseline) - No change for 2025"" (P.20, ANZ 2024 ESG Supplement)",2030,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,N,0,C,N,0,U,N,,N,N,Yes,
8,7,Apple,Computers,Technology,U.S.,North America,"$391,035","$93,736",-0.034,"$364,980",164000,23,Y,2016,2021,Y,Y,Targets set,1.5°C ,2030,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,Yes,"1,2,3","C,V",Y,"We‚Äôre committed to our ambitious, sciencebased Apple 2030 goal to reduce our collective scope 1, 2, and 3 emissions ‚ upstream and downstream ‚ by 75 percent
before balancing the remaining emissions with high-quality carbon removals. To achieve this goal, we're reducing emissions across our value chain and directing our efforts toward decarbonizing the largest sources of emissions. (pg 10)",2030,,,,N,,,,,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",Yes,N,,,,,,,,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,Y,No,N,"C, V",R,0,Y,,N,Y,Yes,
223,190,ArcelorMittal,Metals,Metals and mining,Luxembourg,Europe,"$62,441","$1,339",0.457,"$89,385",125416,21,N,,,Y,N,Commitment removed,,,,,,,,,,Net zero,Net Zero,Yes,Yes,No,"1,2",,N,,,,,C,Y,"1,2","Across our global portfolio our goal is to be net zero by 2050 and in Europe our target is to reduce our CO2 emissions by 30% by 2030 over 2018.
https://web.archive.org/web/20251004134240/https://corporate.arcelormittal.com/sustainability/approach/climate-change",2050,,,Yes,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,No,C,C,Y,Y,Y,,Y,N,Yes,
143,117,Archer Daniels Midland,Food Production,"Food, beverages and agriculture",U.S.,North America,"$85,530","$1,800",-0.483,"$53,271",43213,31,N,,,Y,N,Commitment removed,,,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,Yes,"1,2,3",,N,,,,,,N,,,,,,Not Specified,Yes (nature-based and CCS-based removals),No,Y,"(Pg. 23&25)
‚Äúwe are working with the Science-based Targets Initiative (SBTi) to obtain their approval that our sustainability targets align with ambitious goals to limit the average rise of global temperatures to 1.5 degrees Celsius‚Äù
(Pg. 3)
‚ÄúIn line with our commitment to align with ambitious goals to limit the average rise of global temperatures to 1.5 degrees Celsius, we submitted our Scope 1 + 2, Scope 3, and FLAG GHG emission reduction targets to the Science-based Targets Initiative.‚Äù",2050,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,N,No,N,N,0,0,Y,,N,N,Not Specified,
224,245,Assicurazioni Generali,"Insurance: Life, Health (stock)",Financial services,Italy,Europe,"$62,196.4","$4,027.3",-0.006,"$557,721.1",86851,31,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Not Specified,Not Specified,Not Specified,,,N,,,,,,Y,,"Achievement of net-zero emissions by 2040 through financing of removal projects that will take into account the evolution
of sector-specific regulations.",2040,,,Yes,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,0,"C, F",N,0,R,N,,Y,N,Yes,
